wavelength_nm,wavelength_source,Aki,aki_unit,acc,lower_conf,lower_term,lower_J,upper_conf,upper_term,upper_J,lower_energy_eV,upper_energy_eV,energy_unit
3037.909726505,ritz_wl_vac_nm,813.34,1/s,AAA,1s.5g,3G,4,1s.10f,3F*,3,24.0432156651818,24.4513390447263,eV
3037.912012012,ritz_wl_vac_nm,871.65,1/s,AAA,1s.5g,3G,5,1s.10f,3F*,4,24.0432160086825,24.4513390811842,eV
3037.912998007,ritz_wl_vac_nm,12.68,1/s,AA,1s.5g,3G,3,1s.10f,1F*,3,24.0432163209841,24.451339261024,eV
3037.913828276,ritz_wl_vac_nm,916.93,1/s,AAA,1s.5g,3G,3,1s.10f,3F*,2,24.0432163209841,24.451339149483,eV
3037.914562272,ritz_wl_vac_nm,830.39,1/s,AAA,1s.5g,1G,4,1s.10f,1F*,3,24.0432165311324,24.451339261024,eV
3037.914608046,ritz_wl_vac_nm,44.624,1/s,AAA,1s.5g,3G,3,1s.10f,3F*,3,24.0432163209841,24.4513390447263,eV
3037.915900934,ritz_wl_vac_nm,21.44,1/s,AA,1s.5g,1G,4,1s.10f,3F*,4,24.0432165311324,24.4513390811842,eV
3037.916172313,ritz_wl_vac_nm,58.95,1/s,AA,1s.5g,1G,4,1s.10f,3F*,3,24.0432165311324,24.4513390447263,eV
3037.93683088,ritz_wl_vac_nm,2995.6,1/s,AAA,1s.5f,3F*,3,1s.10d,3D,2,24.043154084167,24.451273822448,eV
3037.93690826,ritz_wl_vac_nm,264.25,1/s,AAA,1s.5f,3F*,3,1s.10d,3D,3,24.043154084167,24.451273812052,eV
3037.9397493,ritz_wl_vac_nm,4383.3,1/s,AAA,1s.5f,3F*,4,1s.10d,3D,3,24.043154465835,24.451273812052,eV
3037.94265477,ritz_wl_vac_nm,4773.0,1/s,AAA,1s.5f,3F*,2,1s.10d,3D,1,24.043155012649,24.451273968544,eV
3037.94374227,ritz_wl_vac_nm,530.29,1/s,AAA,1s.5f,3F*,2,1s.10d,3D,2,24.043155012649,24.451273822448,eV
3037.94381966,ritz_wl_vac_nm,10.823,1/s,AAA,1s.5f,3F*,2,1s.10d,3D,3,24.043155012649,24.451273812052,eV
3037.94847498,ritz_wl_vac_nm,1247.0,1/s,AA,1s.5f,1F*,3,1s.10d,3D,2,24.043155648442,24.451273822448,eV
3037.94855236,ritz_wl_vac_nm,114.6,1/s,AA,1s.5f,1F*,3,1s.10d,3D,3,24.043155648442,24.451273812052,eV
3047.6827352,ritz_wl_vac_nm,20219.0,1/s,AAA,1s.5d,3D,3,1s.10p,3P*,2,24.042662242088,24.44947689179,eV
3047.682823,ritz_wl_vac_nm,18051.0,1/s,AAA,1s.5d,3D,2,1s.10p,3P*,1,24.042662321526,24.44947695951,eV
3047.6833303,ritz_wl_vac_nm,3610.1,1/s,AAA,1s.5d,3D,2,1s.10p,3P*,2,24.042662321526,24.44947689179,eV
3047.6853724,ritz_wl_vac_nm,24070.0,1/s,AAA,1s.5d,3D,1,1s.10p,3P*,0,24.042663494166,24.44947779185,eV
